"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ValProp","Truth"
1,"X1",0.0104428407858536,0.198798945412472,0.109935510138611,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
1,"X2",1.00560390685525,0.158256008792236,0.274761041405748,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
1,"X3",2.0665698228295,0.110619630254088,0.324891988600499,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
1,"X4",3.00477426959547,0.190422259017966,0.528577784552119,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
1,"X5",4.02231935116675,0.258211979964223,0.357276616294304,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
2,"X1",0.0298809119757819,0.205046679385067,-0.0128010709008484,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
2,"X2",0.960000272375629,0.152923811834137,0.280663778241763,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
2,"X3",2.07517166320243,0.266535505639315,0.230978320559232,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
2,"X4",2.98963838028418,0.193218827649457,0.321316578232463,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
2,"X5",4.06348468285219,0.198429504431452,0.479341365529274,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
3,"X1",0.0594499637581553,0.202922294443472,0.087049382046722,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
3,"X2",1.03349545323192,0.252915744947244,0.0741838463336079,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
3,"X3",2.00120168706502,0.193519423499523,0.19937681370235,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
3,"X4",2.99032194265982,0.204738496969841,0.442243319932297,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
3,"X5",3.95616793769484,0.311111280569123,0.394095199989707,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
4,"X1",-0.058742616943871,0.29615488974137,-0.0056732389929111,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
4,"X2",1.03647860595968,0.26097712230777,-0.0596493902118786,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
4,"X3",2.00468372701487,0.18067281296613,0.298892995135017,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
4,"X4",3.01727220497748,0.134140483065755,0.43427812431194,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
4,"X5",3.98629139932241,0.139212877183614,0.519763713497466,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
5,"X1",0.0341912467187038,0.194764374811398,-0.00520994554466579,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
5,"X2",1.07473880202069,0.291731698651932,-0.028835932490664,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
5,"X3",1.94946137152575,0.210154332103304,0.353343039574295,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
5,"X4",2.99787088039055,0.144497103444592,0.495193825548186,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
5,"X5",4.0162775646679,0.152641184773957,0.578220536415066,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
6,"X1",0.0564449630099632,0.199155076692522,0.0541189126983554,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
6,"X2",1.01883804527073,0.190766885967064,0.223046088625898,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
6,"X3",1.98268219030218,0.166710368737761,0.28306947273013,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
6,"X4",3.03795061954216,0.188525976186906,0.367348981889654,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
6,"X5",4.08469877974062,0.206839528329467,0.386324724534922,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
7,"X1",-0.0169665664075065,0.240465089148641,0.0196776607461795,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
7,"X2",0.981585025405761,0.130072573948615,0.334535526400215,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
7,"X3",2.04264458938835,0.180905404744588,0.217588694007577,"SRS","Dependent Covariates (Equal Covariance)",0.1,0.2
