"id","Model","est_beta0","est_beta1","est_beta2","Design","Covar","ValProp","Truth"
1,"X1",-0.0035408667554823,0.996837914131701,0.223061748229304,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
1,"X2",1.02657672420903,-0.0181040258531169,0.218969121771308,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
1,"X3",2.05729321886998,-0.0928473324068993,0.378306272025341,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
1,"X4",3.00943237942193,-0.0208866351362902,0.541611644748419,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
1,"X5",4.0103370620074,0.0637847126566372,0.38264912415906,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
2,"X1",0.060330018230643,0.987921826053038,0.00459637376064079,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
2,"X2",0.984091813271536,-0.0583001051612513,0.303599394002285,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
2,"X3",2.05531929525908,0.0691937149761691,0.233014635833346,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
2,"X4",2.98907336665805,-0.0192421480154612,0.353407409251772,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
2,"X5",4.00384941939312,-0.0471118654865991,0.543304581541706,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
3,"X1",0.0369337150845957,1.0688510554611,0.119661700191058,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
3,"X2",1.03161065928909,0.0610317108135842,0.0825259951617063,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
3,"X3",1.98505883250603,0.0273810788197758,0.166868255884559,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
3,"X4",2.97339955700569,0.0122062430901427,0.425334906747227,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
3,"X5",3.96173352681067,0.105670195428946,0.422103567659483,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
4,"X1",-0.0956329424985646,1.17838479344473,-0.0513961875542772,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
4,"X2",1.03116540480558,0.0682724881904183,-0.0271525409064613,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
4,"X3",1.98190040005506,0.00241231089442666,0.275762314956791,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
4,"X4",3.00718991857568,-0.0397390238848497,0.409484093010416,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
4,"X5",3.97221844632202,-0.042655108928821,0.517759652692913,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
5,"X1",0.0846401536090369,1.03822122797148,-0.159979862056844,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
5,"X2",1.06099574080179,0.0757836145100887,-0.0442372195432513,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
5,"X3",1.98119316944087,-0.000610134820818174,0.299733695081228,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
5,"X4",2.97445549101395,-0.0546308664660455,0.514248997797543,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
5,"X5",4.03267995169945,-0.0326181266059779,0.510175720606635,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
6,"X1",-0.0335867386682858,1.1496764755894,-0.132106225541815,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
6,"X2",1.01117096268943,-0.00472557871083879,0.222199595299958,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
6,"X3",1.96337017898964,-0.056747785207644,0.390735866413037,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
6,"X4",3.0455730062266,-0.0201802696281633,0.402719758558416,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
6,"X5",4.06437911718564,-0.00520221168812034,0.444174048157945,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
7,"X1",-0.0825101056046509,1.09995059456966,-0.00490793070170337,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
7,"X2",0.992898515815838,-0.0622802148908126,0.320233248952841,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
7,"X3",2.04083494683897,-0.0186678137179095,0.215845939452616,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
7,"X4",2.96255438155235,0.0198340831614248,0.482069290445495,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
7,"X5",4.01541995495741,0.0477932418216631,0.480439593351763,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
8,"X1",0.0109120841268041,1.05266198530409,0.105451651778276,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
8,"X2",0.946600062960125,0.0389456814590327,0.145909653010927,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
8,"X3",1.98488869883086,0.0579757407195319,0.230263264782394,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
8,"X4",2.95172362761323,-0.00415420360867016,0.433307080281647,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
8,"X5",4.03224315823607,-0.0379753619844761,0.510610462612783,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
9,"X1",0.00165013032875859,1.04390920696162,0.105769663137743,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
9,"X2",0.985155896625061,-0.0246012638144448,0.306353588577424,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
9,"X3",2.02447926910713,-0.0729854890992634,0.403878881857157,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
9,"X4",3.03663485438483,-0.0374005084155589,0.407384962211425,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
9,"X5",3.97961780562932,0.0741047745707269,0.56472030782364,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
10,"X1",0.0931597641562985,0.973319884590902,0.192318283687802,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
10,"X2",0.984918835202597,0.0294003494783139,0.301093039710621,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
10,"X3",2.03520433623972,0.00669291302397856,0.31975076754484,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
10,"X4",2.99904631869345,0.0773596837295671,0.328494627832929,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
10,"X5",4.03027664783977,0.0404226868894922,0.339406700293366,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
11,"X1",-0.00177556411514459,1.01311501737467,0.00645131755993603,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
11,"X2",1.02238880547008,-0.0624276098160098,0.199714756426643,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
11,"X3",2.06440139858189,-0.0328443829726659,0.301818167344444,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
11,"X4",2.9946153882649,0.0723215197914694,0.365223310223457,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
11,"X5",3.94303735387353,0.0947268545030513,0.436569319840292,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
12,"X1",-0.0526196388974533,0.993950449055125,0.0362331290732375,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
12,"X2",1.00100717024638,-0.0261312797176935,0.243618161303483,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
12,"X3",1.95207984162277,0.0240675066801157,0.359857667968475,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
12,"X4",2.95107837020126,0.0198544880429558,0.487701987313176,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
12,"X5",4.079177019232,0.0535657653932546,0.263469496011926,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
13,"X1",-0.146603930727887,0.958658516146423,0.190970917236699,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
13,"X2",0.991491763928949,0.0431609851046411,0.171309842697044,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
13,"X3",1.9415927157502,0.105285114942373,0.204987990116942,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
13,"X4",3.00303840147231,0.0100159134726806,0.427507005312607,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
13,"X5",3.97389782373863,-0.00702050989282212,0.580450219748649,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
14,"X1",-0.162158963086375,1.06642159477495,0.125565799402739,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
14,"X2",1.01553399218565,0.00733008927825683,0.24277286518589,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
14,"X3",1.95775217666332,0.00863632115856348,0.329543989614374,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
14,"X4",3.0283844461944,-0.018305718229566,0.331155640646486,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
14,"X5",3.99114678028817,0.0188507066197566,0.461520921799969,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
15,"X1",0.163826690963004,1.03984973454916,-0.0908657273614266,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
15,"X2",1.00783421338561,0.0132747753222825,0.156750220856956,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
15,"X3",1.97505595671182,-0.0282797735627943,0.407044465566495,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
15,"X4",3.01551563840979,0.00670531998226407,0.433851214717358,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
15,"X5",4.01050097939577,-0.0807497713926093,0.544917781807797,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
16,"X1",0.0368623756662953,1.05403596236341,-0.0182087390370796,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
16,"X2",1.02457172143806,0.030217124320601,0.151666996205021,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
16,"X3",1.95098546129203,0.0383743054228887,0.320769380298831,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
16,"X4",3.01696989440317,-0.00114275536060795,0.427307643855116,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
16,"X5",4.04344975004966,0.0492352872930072,0.300367577492876,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
17,"X1",0.111936114142301,1.03366757545133,0.152196789279679,"SRS","Dependent Covariates (Equal Covariance)",0.1,1
17,"X2",1.0118332047609,-0.0198371360915601,0.178731112363984,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
17,"X3",1.93673527699119,0.0324901338609442,0.402639465152664,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
17,"X4",2.93875901438131,-0.0419555831140728,0.556650120683592,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
17,"X5",4.03660534660608,-0.0414012748985689,0.531103713654453,"SRS","Dependent Covariates (Equal Covariance)",0.1,0
